title,composer_name,album_name,genre_name
A Common Interest In Silence,Maserati,The Language Of Cities,Alternative Punk
A Ghost Story,Atlas Sound,Let The Blind Lead Those Who Can See But Cannot Feel,Indie Rock
A Scale A Mirror And Those Indifferent Clocks,Bright Eyes,Fevers & Mirrors,Alternative Punk
Adrift And At Peace,Nine Inch Nails,And All That Could Have Been CD2 Still,Industrial
America,M83,Red Seas & Lost Ghosts,Electronica Dance
Another Green World,Brian Eno,Another Green World,Electronica Dance
Approaching Pavonis Mons By Balloon (Utopia Planitia),The Flaming Lips,Yoshimi Battles The Pink Robots,Alternative
As Think As You Can Quink,Tipper,Tip Hop,IDM
Asleep On A Train,Radical Face,Ghost,Electronic
Ativan,Atlas Sound,Let The Blind Lead Those Who Can See But Cannot Feel,Indie Rock
Attack on Love,Yo La Tengo,Electr-o-pura,Alternative Punk
August,Clinic,Winchester Cathedral,Rock
Auntie's Harp,Flying Lotus,Los Angeles,Electronic
Auntie's Lock / Infinitum (Feat. Laura Darlington),Flying Lotus,Los Angeles,Electronic
Banana Co.,Radiohead,The Golden Unplugged Album,Alternative Punk
Before I Sleep,Mazzy Star,She Hangs Brightly,Alternative
Beginners Falafel,Flying Lotus,Los Angeles,Electronic
Behind Two Hills A Swimmingpool,Mum,Finally We Are No One,Alternative Punk
Berlin,Snow Patrol,Fallen Empires,Alternative
Between Us,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Big Black Mariah,Tom Waits,Rain Dogs,Alternative Punk
Big Man With A Gun,Nine Inch Nails,The Downward Spiral,Industrial Rock
Big Ol' Black,Earlimart,Everyone Down Here,Rock
Birds,M83,Red Seas & Lost Ghosts,Electronica Dance
Black Hole,She & Him,Volume One,Pop
Black Tongue,Yeah Yeah Yeahs,Fever To Tell,Alternative Punk
Bones,Radiohead,The Bends,Alternative Punk
Bonus Track,The Faint,Media,Alternative Rock
Boring Machines Disturbs Sleep,Mogwai,Happy Songs for Happy People,Indie
Break Me Gently (Incidental),Doves,Lost Sides [Australia CD],Blues
Broken Bottles Form a Star (Prelude),Snow Patrol,Fallen Empires,Alternative
Bulletproof,Radiohead,The Golden Unplugged Album,Alternative Punk
Burning The Cow,Earlimart,Everyone Down Here,Indie
Call Call,The Faint,Blank Wave Arcade,Alternative Punk
Camel,Flying Lotus,Los Angeles,Electronic
Can`t Stop,M83,Before The Dawn Heals Us,Instrumental
Caravan,David Holmes,Title,Swing Jazz Vocal
Cars Pass In Cold Blood,The Faint,Blank Wave Arcade,Alternative Punk
Cassetto,Neu!,Neu! 2,Electronica Dance
Center Of Gravity,Yo La Tengo,I Can Hear The Heart Beating As One,Alternative Punk
Change Is Hard,She & Him,Volume One,Pop
Cocoon (Original Mix),Moonbeam,Cocoon,House
Cold Light,Yeah Yeah Yeahs,Fever To Tell,Alternative Punk
Colfax,Principles Of Geometry,Lazare,Electronic
Come Into Our Room,Clinic,Walking With Thee,Alternative Punk
Come On,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Comet Course,Flying Lotus,Los Angeles,Electronic
Complication,Nine Inch Nails,The Fragile (Right),Industrial Dance
Coney Island,Death Cab For Cutie,The Photo Album,Rock
Cover Me,Bjork,Post,Classical
Date With The Night,Yeah Yeah Yeahs,Fever To Tell,Alternative Punk
Death Of An Interior Decorator,Death Cab For Cutie,Transatlanticism,Blues
Debra,Principles Of Geometry,Lazare,Electronic
Dirty Water,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Disconnect,She Wants Revenge,She Wants Revenge,Blues
Do It Clean,Echo & The Bunnymen,Songs To Learn & Sing,Alternative Punk
Do You Want To (Erol Alkans Glam Racket Remix,Steve Aoki,Pillowface And His Airplane Chronicles,Electronic
Doll Is Mine,Blonde Redhead,Misery Is a Butterfly,Alternative
Dominoes,Office,A Night At The Ritz,Rock
Don't Panic,Coldplay,Parachutes,Rock
Elephant Stone,The Stone Roses,The Stone Roses,Alternative
Elizabeth My Dear,The Stone Roses,The Stone Roses,Alternative
Enter: Cleveland Train,Your American Math,Motors Into The Drink,Alternative Punk
Everybody I Know,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Face The Rain,Mathew Dear,False 2007,Techno
False Ending,Yo La Tengo,Electr-o-pura,Alternative Punk
Faraway Swimmingpool,Mum,Finally We Are No One,Alternative Punk
Feeling Lucky,The Jesus And Mary Chain,Stoned & Dethroned,Rock
First Day Of My Life,Bright Eyes,I'm Wide Awake It's Morning,Alternative Punk
Folie A Deux,Tipper,The Seamless Unspeakable Something,Electronic
Forever Blue,Chris Isaak,Forever Blue,Country
From Me To You,Earlimart,Kingdom Of Champions,Rock
Frozen Angels,Zoe Keating,One Cello x 16: Natoma,Classical
Gedenkminute,Neu!,Neu! 2,Electronica Dance
Getting Giving the Lock,The Faint,Media,Alternative Rock
Ghost of the City,White Noise Carousel,Iamthedirectory,Ambient
Girlboy Song,Aphex Twin,Richard D. James,IDM
Glass Danse,The Faint,Danse Macabre,Alternative Punk
Gobbledigook,Sigur Ros,Meo eyrum endalaust,Rock
Golden Porsche,Mogwai,Happy Songs for Happy People,Indie
Gone Still,Nine Inch Nails,And All That Could Have Been CD2 Still,Industrial
Got Me,She & Him,Volume One,Pop
Had A Visit,Office,A Night At The Ritz,Rock
Hands Away,Interpol,Turn on the Bright Lights,Rock
Headphones,Bjork,Post,Classical
Hit The Ground Running,Doves,Lost Sides [Australia CD],Blues
Hole,The Jesus And Mary Chain,Stoned & Dethroned,Rock
Hoppipolla Afturabak,Sigur Ros,Takk,Alternative Punk
How Do You Do?,Radiohead,Pablo Honey,Alternative Punk
How I Made My Millions,Radiohead,The Golden Unplugged Album,Alternative Punk
Hunting Bears,Radiohead,Amnesiac,Indie
Hyperpower!,Nine Inch Nails,Year Zero,Industrial
I Thought I Saw Your Face Today,She & Him,Volume One,Pop
I Was a Kaleidoscope,Death Cab For Cutie,Death Cab For Cutie,Rock
I Was Made For You,She & Him,Volume One,Pop
I Will (No Man's Land),Radiohead,Hail To The Thief,Alternative Punk
I Will Follow You Into The Dark,Death Cab For Cutie,Plans,Blues
If You Don't Know By Now,Office,A Night At The Ritz,Rock
Immature,Bjork,Homogenic,Electronica Dance
In Between Days,The Cure,Show,Rock
In Concert,The Faint,Blank Wave Arcade,Alternative Punk
In Dark Trees,Brian Eno,Another Green World,Electronica Dance
In The Heather,Mathew Dear,False 2007,Techno
In The Privacy Of Our Love,Hot Chip,Made In The Dark,Electronic
Indy 3000,Mathew Dear,False 2007,Techno
interlude mix1,Underworld,Atlanta Live 28mar08,Electronic
Intro,Sigur Ros,Takk,Alternative Punk
Introduction,Sigur Ros,Meo eyrum endalaust,Alternative Punk
Isobel,Bjork,Post,Classical
Kaleidoscope,Ride,Nowhere,Alternative Punk
Kamikaze,PJ Harvey,Stories From The City,Alternative Punk
Keep It Gold,Maserati,The Language Of Cities,Alternative Punk
Killer Cars,Radiohead,The Golden Unplugged Album,Alternative Punk
King Of The Road,Dean Martin,The Country Side of,Pop
Lawless,UNKLE,War Stories,Electronic
Lawless (Instrumental),UNKLE,War Stories,Electronic
Lifting The Building,David Holmes,Ocean's Twelve,Soundtrack
Little Honda,Yo La Tengo,I Can Hear The Heart Beating As One,Alternative Punk
Long Way Down,Brian Eno,Another Day On Earth,Blues
Look Back In,Moby,Southland Tales (OST),Soundtrack
Lozenge Of Love,Radiohead,My Iron Lung [EP] [UK],Alternative Punk
Lurgee,Radiohead,Pablo Honey,Alternative Punk
Made In The Dark,Hot Chip,Made In The Dark,Electronic
Magic Mountain,Blonde Redhead,Misery Is a Butterfly,Alternative
Main Title,Bear McCreary,Battlestar Galactica Season One,Soundtrack
Man,Yeah Yeah Yeahs,Fever To Tell,Alternative Punk
March of the Pigs,Nine Inch Nails,The Downward Spiral,Industrial Rock
Matin,Principles Of Geometry,Lazare,Electronic
Meet Me At The Pier,Doves,Lost Sides [Australia CD],Blues
Megafresh B-Boy,DJ Z-Trip & DJ P,Uneasy Listening,Turntablism
Melt!,Flying Lotus,Los Angeles,Electronic
Middle Of Nowhere,Tipper,Surrounded,Electronic
Mistur [Mist],Sigur Ros,Von,Space
Modern Things,Bjork,Post,Classical
